HarressarGender,Major,Institution,Experience
male,social&humanities,Other R1,"I had set up a meeting with a professor to discuss doing a summer research project with him. During the meeting, he asked me inappropriate questions: whether I had a boyfriend, was he was my ""first love"", things like that. I remember feeling so uncomfortable. I don't remember him talking about his research at all. After the meeting, I told some friends, and I learned that there were all sorts of rumors about this professor and inappropriate relationships with female undergraduates."
both,social&humanities,Other R1,Several female graduate students in my department were harassed by a professor
male,social&humanities,Elite Institution/Ivy League,"Senior male colleague slapped my ass, in front of his wife, at a party at his own home. This 'friendly' scholar was known to do the same to others, namely another Assistant Professor, a woman of color."
male,social&humanities,Elite Institution/Ivy League,"A professor in the department only mentored female, asian phd students. He would dominate their personal lives, telling them when they could and couldn't eat dinner with their husbands and not to have children. He expected them to work in his office with him alone, often late into the night. And he told his mentees to dress 'business sexy' for conferences and pre-approved their outfits. All of these behaviors were so mundane to this professor that he would behave this way publicly, in front of other faculty and students. The professor went even further with one mentee and appeared to have a physically intimate relationship with her. He was witnessed carrying her over his shoulder out of an MBA party and repeatedly sitting too close/leaning into each other's bodies/touching each other, all in ways that professional colleagues do not do. As, all of this harassment was out in the open, and easy to see for anyone caring to look, it appeared that the department and the school condoned the behavior. "
male,applied&formal,Other R1,"During my PhD program, shortly after I married, my major professor brought me int a room, closed the door and informed me that since I was now married, I should no longer pursue my PhD. After that, he isolated me from the rest of my committee, informed me not to communicate with them, and then told them that I was a failure in maintaining information professional relationships. He moved to expel me from the doctoral program, and was successful, giving reasons that were false (such as claiming I did not complete requirements of my program by the deadlines). Even though I presented evidence that proved him false, to my department chair, a committee of professors, the Dean of Graduate students, etc.), I was told that I must have done something wrong and that I should move on in life. "
male,classics,Elite Institution/Ivy League,"This is ultimately complicated and it is too long, detailed, and confusing for anyone to bother reading, but I need to share this because this story has ended up being one of the most traumatic events of my life and I have received no formal support or sympathy from my institution and I just need to state it publicly. When I was an associate dean at my liberal arts college several years ago we did not have formal designated Title IX officers, so several of us ended up being the staff to deal with this on an ad hoc basis. I ended up being the person that adjunct faculty and some students came to because I was in the Dean of Faculty office and dealt with curricular matters. The students who came to me had complaints primarily about other students so I moved them onto the Dean of Students, but I sometimes knew the outcome of those cases: nothing. In one case, one of our star professors (and another dean) had a son who stalked his ex-girlfriend and her boyfriend and roommates and made threats against her. The school did not intervene until he started to destroy campus property--throwing rocks and bricks through her windows while she was there, and even then it was hushed up and he was not disciplined as would be a student whose father wasn't a faculty darling. In another case, while at a campus concert, a female student had been punched and physically attacked by a male student. This male student was well connected; of course nothing happened despite the evidence she had (black eye, numerous witnesses). Most galling to me, the male student who punched her ended up being allowed to go on an international trip to country X with, for which I was the female faculty/staff member chaperoning. When I threatened to quit the trip because he was going to be allowed to go, I was reprimanded. As for the female student who had been punched, she was threatened with disciplinary action because she had been smoking pot at the concert..... The school would not support her or represent her when she took the assault to the local police and local DA. And though the DA initially wanted to pursue the case, a few weeks later he informed her there was just not enough evidence.... The worst case was the same year with two international teaching assistants on (Ms. A and Ms. B) who were being stalked and repeatedly sexually harassed by one of our longer-term adjuncts (Professor Y) who had been given informal supervisory powers over them. Professor Y was good friends Professor Z who ran the division and had seemed to be the one to suggest that Ms. A and Ms. B needed supervision because they were from traditional countries. Professor Z insisted that they could not leave campus (one was married and wanted to visit her husband on the weekends); when I told her that of course she was allowed to leave and yes she could fly back home on a Friday, Professor Z confronted me inappropriately and angrily and explained that both women were ""evil snakes under rocks, slithering, biting"" and so forth. It seemed pretty clear that Professor Z--who at that time was a friend of mine--was also involved in the harassment. I led Ms. A and Ms. B to HR and to the Dean of Students. Once we proceeded with the case, I found that Professor Z's wife, an administrator, threatened Ms. A and Ms. B with deportation; HR and the DOS were entirely doubting of these women--I sat in the meetings and was shocked at the racist, sexist, demeaning questions the female HR director asked of them as if they were too stupid to grasp American life and as if they had tried to seduce Professor Y. My dean told me I needed to stay out of it because I was going on the trip to Country X with Professor Z. I am assuming that both Ms. A an Ms. B had been told by somebody to not talk with me any further. They left campus the last day of classes and I really have no idea what happened to them. I have always felt so angry and upset that I could not do more to help them. It was the trip to Country X with Professor Z that was my undoing. This was about three months after my trying to help Ms. A and Ms. B. I had believed that Professor Z and I had been good friends for years and initially we got along well. Once in Country X, Professor Z immediately complained that certain female students on the trip were insulting him and he refused to allow them to take part in certain activities--he made me intervene and insisted he would only speak to them again if they apologized to him personally. (None of us had any idea what exactly they had done, but for the sake of the trip, I told them to just play along and apologize to him, that I knew they had done nothing intentionally wrong and that it must be a cultural miscue that we just didn't get). But everything involving gender became a problem for Professor Z. There were female and male faculty from Country X who served as our guides; Professor Z stirred up problems between them and complained formally to their university about the women. In the mean time, the male students on our trip were behaving like rude Americans. I talked to them many times but I finally blew up at them (I was highly inappropriate here, which I admitted.) At that point, Professor Z, all the all the male students, the local male faculty and staff then isolated me entirely and worse. When we got back to the US, I later found out that nearly all the students, Professor Z, and his administrator wife went to my Dean and others and attempted to have me fired. I was eventually shown the written comments the students had reported about me; I've never read more upsetting and devastating comments in my life. They were cruel beyond recognition. I was so distraught and anxious--wondering if the comments were true and how horrible I must be--that I left campus and did not return for another 16 months. Professor Z has never spoken to me since three days into the trip. It has taken me many years to realize that perhaps the strange turn against me was related to how I tried to support Ms. A and Ms. B and how I supported the female student who had been punched by the rich student who was allowed on her trip. I just don't know. It's always been a mystery to me, but completely devastating.Once in a while I hear stories from other faculty and staff that stories circulate about him sexually harassing female students and staff. But because of his politics and professional stature in his fields he is widely beloved by most other faculty and many admiring students. I have no idea what happened to the women in Country X he attempted to get fired, but I have never been able to get over all of this and what a central role he ended up having in the Title IX sorts of cases I was involved with that year. He was somehow always intertwined, but here he remains. I now suspect that the reason he and his wife came to our campus from a far more prestigious institution is that he may have behaved inappropriately before. "
male,social&humanities,Elite Institution/Ivy League,"It was the summer before the second year of my MA. I had come home from my graduate institution, and I was in touch with my favorite professor from undergraduate. He had just retired, and he told me that he was getting rid of a lot of his books, so he was sort of holding a giveaway event at his house. A lot of these books were materials I would need on my upcoming master's exam, so I was eager to get what I could so that I didn't have to dip into my stipend to pay for these materials or lug them to and from the library. I was under the impression that other former students of his would be coming in and out of his house that day as well. When I went over, I was the only one there. Fine, maybe I was just in an off period and missed the other students coming. He made me some tea, and we spent a little bit of time catching up before we went back to his library to sort through some books. I had my reading list with me, and I took what I needed. Finally, when I was done, I wanted to start loading up the books in my car so that I could go home - I was living with my parents for the summer, and I was eager to get home so that I could make dinner.That's when things got weird. The professor didn't want me to leave his house; he tried to get me to sit longer with him, he tried to put me in a reclining armchair and lay it all the way back. When I protested and told him that I needed to go home because traffic would get bad and my parents were expecting me, he replied, ""What? You want to get home so that you can hang out with your MOMMY?"" He was 70 and I was 25. He was old enough to be my grandpa. His face contorted and got ugly, and he grabbed my arm and tried to hold me down. I'm not entirely sure how I got out. Nothing aside from that happened, but the adrenaline kicked in - I knew that if I didn't get out of that house now, I was probably going to be raped. I don't remember what I said, but it was enough for him to let me out of the house. I also left with the books. I did use some of them on the exam, but most I haven't touched. They're still sitting in my garage because I can't look at them without immediately being sent back to that armchair, eyes wide, fearing what was going to happen next. This was a professor who used to be my favorite, who was my undergrad thesis advisor, who had been a recommender of mine, who I had kept in touch with all those years as a mentor, but nothing more. He did email me after this and asked me out, but in my response I lied about having a boyfriend and made comments that pointed out how old he was. He left me alone after that. I'm planning on going through all those books and getting rid of every single one over the winter break so that I don't have to be reminded of his face anymore when I see them sitting in my garage. I'm very lucky that I got out of situation. It was scary, and I can't imagine what it would have done to me if I had gone any further than it did. "
male,social&humanities,Elite Institution/Ivy League,"I heard from the other students that my professor was telling certain grad students in the lab how handsome they were and taking photos of them on her phone. I saw it happen one time. The men didn't mind. I found out later that my supervisor gave one of them a large bonus for a task similar to something I had also performed. However, I was rejected when I asked for a bonus. To make things worse, my supervisor's husband is a senior staff scientist in the lab. He is in charge of most of the young women in the lab. My supervisor thought it was funny that most of the women in the lab work with her husband and most of the men in the lab work with her. I heard that her husband pesters the young women about their love and sex lives. He says inappropriate things like asking a female grad student to treat him like her gynecologist. I caught him joking about how young women, naming one of the undergraduate women in particular, should take drugs and have as much sex as they can while they are young - this was in the middle of the day in the lab, surrounded by male postdocs. I told him I would report him to HR if he didn't stop. But he thought I was joking and laughed."
male,social&humanities,Other R1,"This is gender harassment, not sexual harassment, but it speaks to the climate that does not take women seriously as professional and intellectual persons.When I arrived on my liberal arts campus over twenty years ago, I was one of the very first tenure-track professors to work on gender and sexuality. My own department has always been extremely supportive (after all, they chose me out of a pool of more than 400 candidates!). But I was surprised, having taught at other institutions, how cold other faculty were to me, and how few students I had. At the end of my first year, the conservative student newspaper published an expose of my department--gasp! all FIVE of us were registered democrats and could we be trusted?--but there was also a little satire about the problems my department had hiring, including a satire of me (unnamed) that I had done my dissertation on menstruation and what sort of evidence could possibly exist for that? (I did not do my dissertation on menstruation by the way, but reproduction.) I was confused, upset, and went to my dept. chair. He knocked on the other colleagues doors and said ""it's time to let her know what has happened."" We all met and the chair grabbed a big, giant file and said if I wanted to see it I could. Apparently a year earlier--when I gave my job talk--faculty in another department found my work so threatening (!) that they went to trustees and some number of them (I've never looked at the file) went to the president to try to get my job offer rescinded or buy out my three-year contract. The dean at the time was intertwined in all of this, and suddenly my inability the year before to get a contract out of him for months made sense. It also made sense how on the phone he told me things like ""I'm not sure we'll find an office for you; I'm not sure whether we can provide moving expenses."" There was no campus housing available for me (I was moving across the country)--I am the only faculty member in all these years who was not offered campus housing as far as I know. It made sense why I was paid in the high 30s, and how my salary remained in the 50s well into the 2000s. The thing was this story never seemed to go away. The story that the student paper had run about me got picked up in national conservative sources, including a college guide (that used the satirical material)--three years later, the director of PR got up at a faculty meeting boasting about how fantastic it was that our campus had such a great write up. For years, students would come tell me how their professors in another department joked about me and students would tell me how there was a joke that as I was doing book revisions, maybe they should put used tampons on my door for my research, etc. Despite the fact that my book and articles have ended up winning prizes, that I have earned all sorts of professional accomplishments outside my field, etc. I remain marginalized on my campus. I do get along with my colleagues--including some of the ones who were most hostile to me when I have arrived--and so I believe I am respected as a congenial, easy-going, hard-working colleague and I am a very popular professor among students, but my work on gender, sexuality, etc. is itself dismissed and not of interest to the academic community here. This is not sexual harassment, but it is part of a larger institutional problem where anything that has to do with gender, sexuality, and power is not considered as important as other fields and topics. "
male,NotAvailable,Elite Institution/Ivy League,PI made judgemental comments about appearance every day. Called me a whore for wearing a miniskirt on a day I wasn't supposed to be working but came in anyway. Refused to provide training due to gender.
male,natural,R2,"After the first year of my PhD program, my MA thesis advisor, whom I planned on working with further, pursued me for a whole summer. I was 25; he was 45. I kept telling him I just wanted to be friends, and he seemed to get it, but then he'd show up at my apartment with flowers and champagne. Although I wouldn't let him touch me, and never indicated I wanted more than friendship, he wanted to formally ""declare"" our imagined romance to the department. He'd decided I was going to be his next (3rd) wife. Finally, I told him to leave me alone, and he responded, ""you have no idea how much power you wield over other people."" Ugh. But he did leave me alone."
male,social&humanities,Other R1,"A series of disgusting comments to me about other women's appearance. general toleration of a boys' club. undue, rude comments about women's scholarly work. hostility to feminism overall. watching him be a condescending and gross person to his secretary- calling a sixty year old woman a ""girl."" "
male,social&humanities,Other R1,"A student in my cohort ramped up a pattern of inappropriate sexual comments and behavior, culminating in sexual assault. Over time, she showed me her breasts and crotch, talked about the size of her vagina, and touched my breasts. At a bar one night, she repeatedly groped me and pushed up my skirt while I told her over and over to stop touching me and leave me alone. She grabbed my pussy from behind. She only quit after I screamed at her that I would punch her if she didn't stop. "
male,natural,Small Liberal Arts College,"Professor held a speach at a collaboration dinner in front of about 40 people and suggest that people from small genetically distinct groups (his and mine) should breed together. (The collaboration group was looking at the first population stratification maps available an hour earlier. ) There were only 2 people from my group, both women. Also other less shocking stuff. Everyone knew he meant me, when I asked about this confusing event. No-one did anything. "
male,social&humanities,Other Type of School,"I dated a fellow student briefly and then we broke up. I ran into him months later at the campus library. He said he'd been checking by my carrel to see if I was there. I hadn't told anyone where my carrel was. We got on the elevator, and once inside he pinned me against the side and tried to forcibly kiss and grope me. I was choking him but couldn't get him off me. He stopped when the doors opened and I was able to get away. "
female,social&humanities,Other R1,"Is this harassment? Just before and after I finished my PhD, this academic celebrity from my PhD institution (not in my department but a related field) began pursuing me romantically, despite the fact I was married and he was in a long-term relationship. I suppose I responded positively to some of his attention because I was super stressed out in my first year in a tenure-track job, which was causing depression, anxiety, and mania; I was isolated; and I had gotten very little mentoring on my scholarship in my PhD program. He read my work and praised it. It felt so great finally to get recognition for my ideas. And he seemed interested in my thoughts on his work--or at least he pretended to be. It was all long-distance, so it was not physical, but I did become emotionally attached to him. He emailed and called *relentlessly* with increasingly sexually charged messages. When I felt overwhelmed and tried to stop contact, he pleaded with me to continue. I was not emotionally strong enough to stop. Then, after several months, he suddenly dropped me, pretended like he had never done anything, and accused me of only liking him because he was famous. I guess this is not technically harassment, because I participated to a certain extent, but now, looking back 15 years later, it was certainly an abuse of power. He was a celebrity, I was vulnerable, and he played me. It's a little Clinton-Lewinsky-ish. "
male,social&humanities,Small Liberal Arts College,"Myself, and a number of women in my graduate program, were subject to sexually explicit jokes and commentary from a male faculty member. I was shown graphic sexual imagery. I was called sexist and derogatory terms, e.g. ""bitch."" I received unwanted touching of a non-sexual nature, but that was definitely unwelcome in the context of this person's sexualized everyday discourse. "
male,applied&formal,Other R1,"This is a very well-regarded and respected older academic who began corresponding with me after a few interactions on Twitter. I was a little surprised as I was a nobody PhD student, and he is considered the father of an academic subfield, but grateful for the opportunity to have someone of his stature look at my work and possibly give me feedback and guidance. He is not from the university I was at, at that time. Three distinct occurrences:1. He traveled to the city I lived in for something, and suggested we meet for a coffee. I didn't see anything wrong with this. Coffee and snacks were without incident, but then he suggested we take a walk to the nearby park as it was such a nice day. I agreed. As we walked there, he reached out to take my hand. I was shocked. He held if for a little while, and then I pretended I needed something from my handbag and disengaged my hand. After that I made sure to have my handbag on the side between us so he couldn't hold my hand again. We sad on the grass in the park where he lay down and opened a few of his shirt buttons.2. During a separate conversation, or maybe during a conversation when he was in my city, he told me about how his wife and him went to nude beaches. 3. At AoIR in Denver, I ran into him near the escalators and we were chatting and catching up. A young Southeast Asian woman was coming up the escalator and he stopped in mid-sentence and said something like, ""Oh wow I need to get to know *her*!"" in a creepy desperate sexual way. I was just staring at him, and he suddenly realized where he was, looked at me and said, ""You didn't hear or see any of that."" And then he walked off."
female,NotAvailable,Elite Institution/Ivy League,"I was sexually assaulted by my MA thesis/former diss. chair in 1995, just after my second year in grad school. Forced to perform oral sex in my advisor's offices as well as in offices he had given to me and other graduate students working on his grants. Worst time occurred in an office he had assigned to a fellow graduate student. I was so ashamed that I begged to be taken elsewhere. My advisor took me to his car and continued this enforced oral sex on the roof of a campus parking structure. I again begged to go elsewhere. My advisor then drove around the roads right around campus, forcing me to continue oral sex while we drove, until we almost got into an accident. He then dropped me off at my church choir rehearsal. I felt paralyzed and unable to move. My arm wouldn't work to open the door. It was as if I had had a stroke. This was repeated multiple times in the enusing year (the year I was ostensibly getting ready for my qualifying exams) when he would drive me home. Once he drove me to a remote canyon and forced me to do the same. Two times this practice was nearly stopped by others (by an old lady with a flashlight and a police officer who rapped on the window) but I did not resist. I dissociated instead. My abuser called these events a ""cancer on our relationship"" and tried (successfully for many years) to convince me that this was my doing."
male,NotAvailable,Other R1,"Professors in the music department ganged up on a transgender professor and drove her away from the department. As part of that, they (including the department head) targeted a student of hers who had a disability and invented extra tests the student had to pass in order to obtain her degree, which was designed to aggravate her disability. Other students did not have to do these tests, and the tests were unusual at that stage of her degree anyway, which was a writing and research-based stage. The student was eventually forced to take a lesser degree and she also had immigration problems as she was on a student visa, which limited her ability to use legal mechanisms to protest. At the same time these events were happening, one of the professors in the department (who did not participate in the bullying of the disabled student) was dating and eventually married his own student. There was also a rape outside the music building in about 2011-2014, which is poorly lit with lots of bushes, and students often leave the building after dark when practicing. A male grad student approached the department head (who bullied the student with the disability and the transgender professor) and proposed improved lighting and clearing the bushes. He was rebuffed and cost was the reason. The male student then proposed the students perform a benefit concert to do this. The male student was then forbidden from putting on the concert."
male,social&humanities,Small Liberal Arts College,"It was the early 2000s. I was still very young, just turned 21. I am trans (f-->m), and was publicly identifying as male but not at all passing as such, and thus super visibly queer. A student the year below me, an army officer who came t to class in uniform, started with inappropriate comments after class, at social functions, etc. Comments about what he imagined my sex life to be, about how much he knew I would enjoy ""a night in the locker room"" with him and his ""buddies."" He got more graphic and threatening over time. "
male,social&humanities,Other R1,"My prof., who was my tutor as an undergrad, then my advisor as a graduate student, spent ten years gradually getting close to me: getting me drunk, emailing in the middle of the night, telling me in depth about previous sexual relationships, commenting on women's bodies, complimenting me in an insidious way. Eventually we were very drunk one night when he put his arms around me and suggested we go to bed. Feeling like this man had been the souce of my entire self esteem for 10 yrs, I agreed. He waited until I was maked in his arms, then rejected me. I could deal with that - it was consensual ane I fully believe ppl should be allowed to change their mind during sex - but he then ghosted me. Totally froze me out of his life when I thought we were friends. I thought the explanation must be that he never thought I was any good academically and that he only wanted me for my body. Six months later he did a similar thing again and I have since witnessed him behave the same way with undergraduates and my friends. It's the same MO over and over and it sickens me."
male,social&humanities,Other Research Agency,"I was stalked/harassed for about a year as an undergraduate student. The harassment mostly consisted of emails and notes, but in one incident someone stole my underwear from the laundry room and returned it with a note explaining how they'd used it for masturbation. I was also aware of some other incidents on campus, including two different graduate student or postdoc T.A.s who had sexually coerced / assaulted female undergraduate students in their classes, a professor who had sexually assaulted a female R.A., a rape, and another case of email harassment which took place in another dorm."
male,social&humanities,Other R1,"During an on-campus interview for a tenure-track position, the department chair suggested we take a walk rather than meet in his office. As we walked, he put his arm around me and told me that he was sure I was wondering about the dating prospects in the small town in which the college was located. He went on to say that he had met both of his wives in the town. He left me with the clear impression that he considered me a possible choice for wife #3. "
male,social&humanities,Regional Teaching College,"When I was an undergrad at the University of Chicago and in the early years of grad school at Penn, I was sexually harrassed by a mentor. He put enormous pressure on me to respond to his desires and I resisted. When he and I moved to Penn, there was a moment when, in a sick moment, he stuck his tongue inside my mouth and I let him feel me. "
male,social&humanities,Regional Teaching College,"Inappropriate comments on my papers. Example: ""Your volcanic liquid burns me."""
male,social&humanities,Elite Institution/Ivy League,"This could be an answer as long as my dissertation. In a nutshell, several of the male faculty used to make bets on what kind of underwear I was wearing. I didn't know for the first year or 2 and I don't know how they ever expected to learn the answer to settle their bet. The dept head, overhearing a conversation between myself and another student regarding ear piercings, asked me out loud in an auditorium just prior to a guest speaker's talk, if I had my labia pierced. My boss, a Chinese male, regularly told me women shouldn't be doctors. Work didn't have a place in science. They should be in the home. Another faculty member used to asked me how I liked sex. Others took bets on if I was wearing thong underwear or not. "
male,social&humanities,Elite Institution/Ivy League,I was sexually assaulted in 2014 while attending an international scientific conference. The perp was an employee at the conference center. 
male,social&humanities,Other R1,"In 2009-2010, I was a committe member for a graduate student who came to me repeatedly complaining about her Adviser/major Prof sexually harassing her. He would say awful things to her like 'all the pretty ones cry' or 'why don't you become a nurse?'. She cried in my office and considered quitting so many times. "
male,NotAvailable,Elite Institution/Ivy League,"A male grad student / colleague was interested in me romantically. After I night out a bar, I rejected him by way of not answering my phone when he wanted to hang out. He came over to me house, shirtless and drunk and fought his way into my doorway and at the top of his lungs called me a dirty whore and a fucking bitch. He grabbed me by my wrists and I pulled away with all of my might. He let go suddenly and I fell back and injured myself and limped the next day. He finally stepped out and I quickly closed and locked the door on him and he continued to call me a whore and broke the handle off of my door. My partner at the time, also an academic, blamed me for being _—“too flirtatious_—ù with this man. Other colleagues who knew about this remained very friendly with him. That was the worst part. I felt abandoned by everyone I knew."
male,social&humanities,Other R1,"When I was an undergraduate I was 'courted' by an older, married male professor. He was someone I admired deeply as a professor, and had asked to be an advisor to the backpacking club I started. He orchestrated a few hikes alone, held my hand, invited me for a drink, arranged to have dinner out, told me how smart and attractive I was, made vague and confusing comments on my papers, and eventually professed his 'crush' behind the closed door of his office. I was confused, terrified, horrifically upset by all of it, and profoundly embarrassed and ashamed. I was a first generation college student, and it took me years to regain my confidence and to believe that I might have genuine aptitude for a career in the academy. "
male,NotAvailable,Elite Institution/Ivy League,To me
male,applied&formal,Other R1,"After meeting a senior male colleague once he began to make inappropriate (and odd) comments over email and phone ""I can't stop thinking about you"" ""you are just amazing"" ""meeting you blew me away"" after calling my office, ""I just had to talk to you again"". I told a male colleague friend about the comments and showed him some of the emails and he was creeped out, too. A few months later at a poster session, in one comment he managed to simultaneously disparage my research area and the fact that I was a women (I have too much testosterone to do those behavioral studies; um, wft dude?) "
female,NotAvailable,Other Type of School,"Inappropriate staring and treatment by a senior male colleague/collaborator. After meeting with the inappropriate person and another male colleague about a project, my male colleague and I left the room and my colleague says, ""I don't like the way he looks at you"" I said, ""I know, this is why I wear my coat and zip it all they way up for meetings"". The inappropriate person always seems to brush me off and treat me like I'm dumb (could be because I'm a female or just that dude's personality) "
male,applied&formal,Other R1,Professor tried to force me to give him oral sex
male,natural,Other R1,"The (now) chair of our department is on film giving a roast at a retirement party for a senior male scientist. The roast is sexist (makes jokes about sleeping with students, being proficient in sexual harassment, and sex with minors). It is disgusting and appalling. The video was recorded willingly by the department and the talk had slides. This incident was covered by the Verge (you can watch the video in the link: https://www.theverge.com/2016/10/24/13359794/smithsonian-sexual-misconduct-investigation-miguel-pinto) and TTU ""investigated"" the incident. Nothing happened. see coverage here: https://www.theverge.com/2017/9/7/16262722/texas-tech-sexual-misconduct-investigation-sexism-biology The above link also shows an extremely sexist satirical journal article that was handed out at the retirement party - undergraduate attendees got copies. The university has made no response. "
male,natural,Other R1,"A senior professor in my Faculty suggested that I should us my ""assets"" for career advancement. When I asked for clarification he stated that he would support my aspirations for promotion and provide a support letter if I would go out with him. When I declined he started negative rumours about my professional reputation and abilities. He became more aggressive and threatened to report me for misconduct. He said he could get me fired. Now I try to avoid him but I feel stress every day. I reported it. I was told the problems in my university are so systemic I should just try to find another job elsewhere."
male,natural,Other R1,Professor groped me.
male,applied&formal,Other R1,"I was applying to a tenure line job at a Canadian University. The Chair of the search committee responded to my application with a note acknowledging that my application was received and (with a slight reprimand?) that the recommendation letters I had sent were not needed at that time. And then there was an attachment. The attachment was not mentioned in the note. The name of the attachment: rear pussy. And yep, that's just what the attachment was - an incredibly lewd, perhaps underage, clear view r.p. jpeg. "
male,social&humanities,Other R1,"I heard from male peers about a certain celebrated male professor who only bonded with students over a smoke and drugs in the late evenings. While he did not make advances towards me or anyone I knew, we knew as women that we would never be included in the inner circle of the department, where opportunities for grants, co-authorship of papers etc, available teaching positions were discussed and given out because we were not deemed attractive or flirtatious enough to be included. It was an almost exclusively male circle, and the only women who were included by this prof and his junior male colleagues were either their partners or soon became their partners. Most of them did not go on to pursue serious academic work. "
male,social&humanities,Other R1,"I needed three letters of recommendation for several highly competitive post-graduate funding programs. Cultivated a senior faculty member in one of my departments (I doubled-majored). Had heard rumors of sexual relationships he'd had with former students. He began to request I come to office hours, once or twice each week, during which he'd stand up from his chair and come around to the edge of the desk, perching on the edge, close to where I sat in a guest chair. Gave me extracurricular reading for out-of-class, one-on-one discussion (on the grounds that I was ""very gifted"" and ""doing superior work""), hugs at odd moments, nicknames/endearments -- all verbally, nothing via e-mail. I felt like I was being groomed. Didn't feel like I had any material complaint to take to the Chair (who was also writing me rec letters), and was afraid to alienate this person since the app deadlines were approaching and I had no replacement rec letter writers to call on. I changed my schedule in order to avoid his office hours (immediately after lectures) and rearranged spring classes and senior thesis topic in order to avoid him."
male,NotAvailable,Elite Institution/Ivy League,"I have witnessed the chair of my department bully and harass many of my colleagues and me for years. He tried to use a non-existent _—“maternity leave_—ù to load me down with extra work the year after I had my child, he is aggressive and dominating over email, and threatens his employees (some of whom are tenured faculty) with termination should they not behave the way he wants them to. He has said sexist, racist things in faculty meetings and in emails. "
NotAvailable,social&humanities,Other R1,"My professor and supervisor started using my private phone number (that I had given him for emergencies) to send me messages. He was asking what I was doing, recommending me some songs. At first I did not say anything. Then he asked me to have lunch with him, and a month later during a commission, he started calling me ""mon bijou"" in front of other professors, and ate in my plate during a commission lunch. He kept coming into my office to talk, invited me to his, to listen to music or to chat. He was always making compliments about my body. I went to see a mediator from the university who basically told me that I should change the way I dress. I finally told my supervisor to stop using my private number, and he stopped talking to me. I finished my master thesis with almost no supervision and he got me the minimal grade to get my master - my other supervisor gave me a 5.5. "
both,social&humanities,Other R1,2015-2017 relentless pursuit followed by a brief affair that ended with a threat to my career
male,NotAvailable,Other R1,"I ended up leaving the field after completing my Ph.D due to the cumulative effects of bullying that began only after I became pregnant. When it became so severe that my degree was in danger, I filed a complaint with our campus Title IX office as a last resort (I tried resolving it within my department, but my chair and the rest of my committee would not stand up to my adviser, despite telling me how wrong they thought all of this was). I had substantial evidence of discrimination in e-mails, so the issue was resolved quickly, and I received my degree."
both,NotDetected,Other Type of School,"After working late one night preparing lectures, I ran into a male colleague on the empty train platform, waiting to go home. He had been drinking excessively and was nearly black out drunk. He spent the 15 minute wait for the train trying to convince me to sleep with him. When we boarded the train, as we walked down the empty carriage, he told me that he ""could rape me if he wanted to."" Then laughed it off as if it were a joke. I spent the remainder of the train ride trying to avoid being touched by him, fending off additional sexual advances, and being regaled by stories of his current and past conquests."
male,natural,Elite Institution/Ivy League,"After a consensual encounter that turned into sexual assault/rape, he told colleagues in my department and in at least 5 other departments about how I was ""crazy"" and how I wouldn't leave him alone, and that they shouldn't work with me on grants and proposals because I was a ""manipulative slut"" who ""wasn't even that good in bed."""
male,social&humanities,Other R1,"When I asked a professor that I was RAing for what I could do to help (I meant in regard to my professional duties) he replied ""you can get on the table and strip naked"". He said this within ear shot of 3 of my colleagues, I was stunned and didn't respond to his request, pretty much acted like it didn't happen. I was a graduate student at a state school when this occurred. In three other incidences as a post-doc at R1instituitions, one of which was Ivy-league the following occurred: 1) my advisor at the time starred at my breast while I talked to him in his office, 2) a professor responded when I made a sarcastic comment in a lab meeting ""oh, how cute you are with your blonde hair"" - I know this was meant to demean me (i.e., dumb blonde) and 3) a prof I was working with made comments about my looks and ""how lucky he was to have such a pretty research assistant"" as well as innuendos such as ""what a lovely pussy you have"" when my cat appeared in the background on a skype call. All of these comments made me incredibly uncomfortable...I will leave out the demeaning comments and behaviors I have received/witnessed from my male colleagues over the years."
male,social&humanities,Other R1,"My advising professor asked me to sleep with him, and when I said no, he quietly retreated from his adviser roll. I had no backup as he was the last of the discipline in the department. His behavior was well known: he had an open string of girlfriends drawn from the graduate pool over the years. He had one when he hit on me. Presumably she was wowed by trips to France and fine wine. But his contempt for women was obvious. By that time he was in his 60s.I took my qualifying exams and left the institution to scratch out a study site on my own to complete my dissertation. I fought hard - without meaningful letters of recommendation - for a career in academia. Even still, 20 years later, I do not have a network of invested academics 'who raised me'. The response of the institution - a female chair at the time- was cliche. ""Oh that's just how he is and we can't legislate love"". LOVE?? It easily set my career back 10 years, but I guess, after having read so many stories of women ""hounded out"" (excellent terms, btw), I should consider myself ""one of the lucky ones"".At that time in the late 80s and early 90s, several women were harassed in the short time I was there. The climate at the time gave both senior and junior male profs approval for selecting partners from the grad pool with impunity. "
male,social&humanities,Elite Institution/Ivy League,"At a conference when applying to Ph.D. Programs I met my first choice mentor. He invited me and my research assistant friends to dinner, and after asked if I minded dropping off his laptop at his hotel before meeting up with others at a bar. We were talking about my research interests and I didn_—Èt want to cut short the conversation, and agreed. In the hotel he touched my leg, tried to kiss me repeatedly, and even laid on top of me while encouraging me to reciprocate. I was stunned and wanted to get away without leaving a negative impression. He had/has a lot of status in the field and was worried about upsetting him. I eventually left at 2am, ashamed of not being braver. He emailed me repeatedly after that, as if we had a romantic connection. When I declined the spot in his lab he was clearly emotional and upset. Going elsewhere was a great decision. I still dread running into him at conferences. "
